0.01	0.0100865	0.0003065	0.150429	0.505354	0.749931
0.02	0.0101158	0.0005046	0.0881303	0.168196	0.138854
0.03	0.0101287	0.0007054	0.0624829	0.0842199	0.048815
0.04	0.0101266	0.0009122	0.0484655	0.0505146	0.0224979
0.05	0.0101142	0.0010992	0.0395042	0.0335808	0.0122426
0.06	0.0101011	0.001293	0.0335182	0.0239954	0.007384
0.07	0.010179	0.0014931	0.0290706	0.0179319	0.0047824
0.08	0.010043	0.0017049	0.0255417	0.0140331	0.003272
0.09	0.0100697	0.0019075	0.0229588	0.0112112	0.0023504
0.1	0.0100968	0.0020866	0.0206913	0.0092362	0.001747
0.11	0.0100862	0.0022904	0.0189211	0.0076386	0.0012977
0.12	0.0101082	0.0024987	0.0173701	0.0065073	0.001014
0.13	0.010082	0.0027401	0.0161057	0.0055424	0.000815
0.14	0.010095	0.0029245	0.0149748	0.0047755	0.0006554
0.15	0.0101246	0.0030825	0.0140157	0.0042274	0.0005377
0.16	0.0101231	0.0032849	0.013168	0.0037312	0.000445
0.17	0.0100982	0.0035	0.0123881	0.0033084	0.00038
0.18	0.0101257	0.0036926	0.0116892	0.0029353	0.0003116
0.19	0.0101169	0.0038862	0.0111534	0.0026585	0.0002752
0.2	0.0101167	0.0041065	0.0106133	0.0024095	0.0002201
0.21	0.0101059	0.0042647	0.0101091	0.0021765	0.0002042
0.22	0.0100911	0.004511	0.0096806	0.0019991	0.0001666
0.23	0.0100737	0.0047119	0.0092714	0.0018381	0.0001606
0.24	0.0101261	0.0048672	0.0088445	0.0016584	0.0001357
0.25	0.0100894	0.0051064	0.0084848	0.0015591	0.000124
0.26	0.0101408	0.005325	0.0081589	0.0014263	0.000106
0.27	0.0100757	0.0054738	0.0079244	0.0013398	9.68e-05
0.28	0.0100829	0.0057099	0.007573	0.0012383	8.59e-05
0.29	0.0100973	0.0058919	0.0074162	0.0011569	7.86e-05
0.3	0.0100863	0.0061206	0.0071285	0.0010868	7.01e-05
0.31	0.0100524	0.0063079	0.0069288	0.0010109	6.23e-05
